"Step","../output/proxy_alpacmygavel.json - train/loss","../output/proxy_alpacmygavel.json - train/loss__MIN","../output/proxy_alpacmygavel.json - train/loss__MAX"
"454","0.0057","0.0057","0.0057"
"455","0.0046","0.0046","0.0046"
"456","0.0039","0.0039","0.0039"
"457","0.0042","0.0042","0.0042"
"458","0.0039","0.0039","0.0039"
"459","0.0038","0.0038","0.0038"
"460","0.0041","0.0041","0.0041"
"461","0.0046","0.0046","0.0046"
"462","0.0043","0.0043","0.0043"
"463","0.0049","0.0049","0.0049"
"464","0.0041","0.0041","0.0041"
"465","0.0043","0.0043","0.0043"
"466","0.0035","0.0035","0.0035"
"467","0.0052","0.0052","0.0052"
"468","0.0039","0.0039","0.0039"
"469","0.0034","0.0034","0.0034"
"470","0.0033","0.0033","0.0033"
"471","0.0026","0.0026","0.0026"
"472","0.003","0.003","0.003"
"473","0.0035","0.0035","0.0035"
"474","0.0031","0.0031","0.0031"
"475","0.004","0.004","0.004"
"476","0.0026","0.0026","0.0026"
"477","0.0037","0.0037","0.0037"
"478","0.0038","0.0038","0.0038"
"479","0.004","0.004","0.004"
"480","0.0037","0.0037","0.0037"
"481","0.0037","0.0037","0.0037"
"482","0.0032","0.0032","0.0032"
"483","0.0035","0.0035","0.0035"
"484","0.0043","0.0043","0.0043"
"485","0.0054","0.0054","0.0054"
"486","0.0037","0.0037","0.0037"
"487","0.0052","0.0052","0.0052"
"488","0.0022","0.0022","0.0022"
"489","0.0022","0.0022","0.0022"
"490","0.0032","0.0032","0.0032"
"491","0.0031","0.0031","0.0031"
"492","0.0029","0.0029","0.0029"
"493","0.0031","0.0031","0.0031"
"494","0.0048","0.0048","0.0048"
"495","0.0036","0.0036","0.0036"
"496","0.0031","0.0031","0.0031"
"497","0.0029","0.0029","0.0029"
"498","0.0048","0.0048","0.0048"
"499","0.0039","0.0039","0.0039"
"500","0.0044","0.0044","0.0044"
"501","0.0044","0.0044","0.0044"
"502","0.0033","0.0033","0.0033"
"503","0.0045","0.0045","0.0045"
"504","0.005","0.005","0.005"
"505","0.0042","0.0042","0.0042"
"506","0.0027","0.0027","0.0027"
"507","0.0025","0.0025","0.0025"
"508","0.0047","0.0047","0.0047"
"509","0.0033","0.0033","0.0033"
"510","0.0049","0.0049","0.0049"
"511","0.0035","0.0035","0.0035"
"512","0.0038","0.0038","0.0038"
"513","0.0047","0.0047","0.0047"
"514","0.004","0.004","0.004"
"515","0.0043","0.0043","0.0043"
"516","0.0036","0.0036","0.0036"
"517","0.0051","0.0051","0.0051"
"518","0.0034","0.0034","0.0034"
"519","0.0041","0.0041","0.0041"
"520","0.0062","0.0062","0.0062"
"521","0.0029","0.0029","0.0029"
"522","0.0049","0.0049","0.0049"
"523","0.0035","0.0035","0.0035"
"524","0.0021","0.0021","0.0021"
"525","0.0025","0.0025","0.0025"
"526","0.0026","0.0026","0.0026"
"527","0.0036","0.0036","0.0036"
"528","0.0028","0.0028","0.0028"
"529","0.004","0.004","0.004"
"530","0.0028","0.0028","0.0028"
"531","0.003","0.003","0.003"
"532","0.0054","0.0054","0.0054"
"533","0.0029","0.0029","0.0029"
"534","0.0033","0.0033","0.0033"
"535","0.0035","0.0035","0.0035"
"536","0.0039","0.0039","0.0039"
"537","0.0024","0.0024","0.0024"
"538","0.0051","0.0051","0.0051"
"539","0.0033","0.0033","0.0033"
"540","0.0044","0.0044","0.0044"
"541","0.0038","0.0038","0.0038"
"542","0.0022","0.0022","0.0022"
"543","0.0022","0.0022","0.0022"
"544","0.0038","0.0038","0.0038"
"545","0.0032","0.0032","0.0032"
"546","0.0039","0.0039","0.0039"
